genres,main_genre,secondary_genre,hours_played
black americana,,,2.1766725
drill and bass,,,2.175142222222220
doo-wop,,,2.167448888888890
free jazz,,,2.1473247222222200
buffalo hip hop,,,2.1396425
stomp pop,,,2.1391869444444400
swedish electronic,,,2.1208447222222200
ska mexicano,,,2.1176230555555600
ska punk,,,2.1176230555555600
uplifting trance,,,2.0974952777777800
scottish rock,,,2.095359722222220
mexican classic rock,,,2.0881113888888900
rochester mn indie,,,2.078027222222220
emo,,,2.0760275
german techno,,,2.068274166666670
deep groove house,,,2.0507322222222200
sound,,,2.043760277777780
sad lo-fi,,,2.039784722222220
ska jazz,,,2.034315277777780
movie tunes,,,2.006727222222220
smooth saxophone,,,1.9990369444444400
garage rock revival,,,1.9982522222222200
uk post-punk,,,1.9887502777777800
african rock,,,1.9847297222222200
classic afrobeat,,,1.9847297222222200
classic oklahoma country,,,1.9845402777777800
russian edm,,,1.9822869444444400
upstate ny rap,,,1.9748530555555600
indie r&b,,,1.9707475
industrial hip hop,,,1.9667308333333300
classic soundtrack,,,1.9651275
spiritual jazz,,,1.9392633333333300
country dawn,,,1.9388322222222200
electro trash,,,1.9373825
azonto,,,1.9316702777777800
ska revival,,,1.9130136111111100
rap kreyol,,,1.911661388888890
jazz saxophone,,,1.9054205555555600
retro soul,,,1.9021258333333300
australian r&b,,,1.896781111111110
gaming edm,,,1.8925394444444400
neoclassical darkwave,,,1.8761802777777800
baltimore indie,,,1.8698058333333300
jangle pop,,,1.8691377777777800
progressive bluegrass,,,1.8616902777777800
oakland indie,,,1.8603880555555600
swiss pop,,,1.8597911111111100
funktronica,,,1.8572588888888900
dreamo,,,1.8507422222222200
anti-folk,,,1.8406830555555600
avant-garde jazz,,,1.839725
flute rock,,,1.8068038888888900
louisville indie,,,1.805681388888890
canadian rock,,,1.7971375
athens indie,,,1.79323
melodic dubstep,,,1.7862269444444400
indie rockism,,,1.7811555555555600
classic girl group,,,1.760013888888890
techno,,,1.7538219444444400
barbadian pop,,,1.7314997222222200
english baroque,,,1.731351388888890
french synthpop,,,1.7275477777777800
french indietronica,,,1.7168266666666700
disco house,,,1.7011786111111100
instrumental soul,,,1.6960936111111100
british singer-songwriter,,,1.6931341666666700
argentine hip hop,,,1.6907555555555600
piano blues,,,1.6806633333333300
nu age,,,1.6798008333333300
deep minimal techno,,,1.6777694444444400
zolo,,,1.6742658333333300
new age piano,,,1.666623611111110
hypnagogic pop,,,1.6552525
float house,,,1.635795
small room,,,1.6272152777777800
york indie,,,1.625661388888890
chill beats,,,1.6249805555555600
shred,,,1.62127
west coast trap,,,1.6093966666666700
bounce,,,1.60514
swedish house,,,1.6034544444444400
asian american hip hop,,,1.5944538888888900
country pop,,,1.58742
traditional blues,,,1.5667969444444400
viral rap,,,1.565668611111110
uk bass,,,1.5651752777777800
women's music,,,1.5517369444444400
okc indie,,,1.5496377777777800
melodic techno,,,1.5422541666666700
stutter house,,,1.5409427777777800
english indie rock,,,1.5390422222222200
canadian old school hip hop,,,1.5370919444444400
scottish electronic,,,1.5287258333333300
slam poetry,,,1.527956388888890
torch song,,,1.5229783333333300
afro-funk,,,1.5126633333333300
